fellow_name,citing_paper,cited_my_paper,citing_paper_year,citing_paper_link,matched_author_name,fellow_source
Wei ZHang,High-Rate Monocular Depth Estimation via Cross Frame-Rate Collaboration of Frames and Events,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://link.springer.com/article/10.1007/s11263-025-02488-2,Wei Zhang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Yonghong Tian,High-Rate Monocular Depth Estimation via Cross Frame-Rate Collaboration of Frames and Events,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://link.springer.com/article/10.1007/s11263-025-02488-2,Yonghong Tian,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Jie Chen,Spherefusion: Efficient panorama depth estimation via gated fusion,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://ieeexplore.ieee.org/abstract/document/11125597/,Jie Chen,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Bo Li,Spherefusion: Efficient panorama depth estimation via gated fusion,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://ieeexplore.ieee.org/abstract/document/11125597/,Bo Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Ce Zhu,Relative depth knowledge distillation for generalizable monocular depth estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2026,https://www.sciencedirect.com/science/article/pii/S0925231226000299,Ce Zhu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Broadcast_Technology_Society
Wei Liu,Online lidar-camera extrinsic parameters self-checking and recalibration,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2024,https://iopscience.iop.org/article/10.1088/1361-6501/ad6469/meta,Wei Liu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Jie Yang,Online lidar-camera extrinsic parameters self-checking and recalibration,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2024,https://iopscience.iop.org/article/10.1088/1361-6501/ad6469/meta,Jie Yang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Hui Li,[HTML] ProFood: Progressive RGB-D fusion network for food detection in complex diet scenes,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://www.sciencedirect.com/science/article/pii/S0889157525015893,Hui Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Power_Electronics_Society
Jieping Ye,CoL3D: Collaborative Learning of Single-view Depth and Camera Intrinsics for Metric 3D Shape Recovery,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://ieeexplore.ieee.org/abstract/document/11128515/,Jieping Ye,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Na Li,[HTML] SIM-MultiDepth: Self-Supervised Indoor Monocular Multi-Frame Depth Estimation Based on Texture-Aware Masking,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2024,https://www.mdpi.com/2072-4292/16/12/2221,Na Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Control_Systems_Society
Kyoung Mu Lee,StarryGazer: Leveraging Monocular Depth Estimation Models for Domain-Agnostic Single Depth Image Completion,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://arxiv.org/abs/2512.13147,Kyoung Mu Lee,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Vincenzo Piuri,[HTML] On the relevance of patch-based extraction methods for monocular depth estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://www.sciencedirect.com/science/article/pii/S0262885625004457,Vincenzo Piuri,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Qing Yang,Multi-stream information complementarity network for RGB-D camouflaged object detection,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://link.springer.com/article/10.1007/s11227-025-07201-1,Qing Yang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Hui Li,CORE: Co-planarity Regularized Monocular Geometry Estimation with Weak Supervision,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2023,http://openaccess.thecvf.com/content/ICCV2023/html/Li_CORE_Co-planarity_Regularized_Monocular_Geometry_Estimation_with_Weak_Supervision_ICCV_2023_paper.html,Hui Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Power_Electronics_Society
Yan Zhang,EDFIDepth: enriched multi-path vision transformer feature interaction networks for monocular depth estimation: C. Xia et al.,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2024,https://link.springer.com/article/10.1007/s11227-024-06205-7,Yan Zhang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Min Xie,Swinfusion: Channel query-response based feature fusion for monocular depth estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2023,https://link.springer.com/chapter/10.1007/978-981-99-8432-9_20,Min Xie,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Control_Systems_Society
Qing Yang,[HTML] DSC: depth data quality optimization framework for RGBD camouflaged object detection,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://www.degruyterbrill.com/document/doi/10.1515/phys-2025-0236/html,Qing Yang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Fei Wang,FA-Depth: Toward Fast and Accurate Self-supervised Monocular Depth Estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2024,https://arxiv.org/abs/2405.10885,Fei Wang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Power_Electronics_Society
Kevin Lee,Blob-Geometry Monocular Depth Estimation for Drogue Tracking in Autonomous Aerial Refueling,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2026,https://arc.aiaa.org/doi/abs/10.2514/6.2026-2887,Kevin Lee,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Power_Electronics_Society
Jing Yang,Dual-branch Monocular Depth Estimation Method with Attention Mechanism,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2024,https://ieeexplore.ieee.org/abstract/document/10593699/,Jing Yang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Bo Li,[PDF] The Second Monocular Depth Estimation Challenge,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2023,https://openresearch.surrey.ac.uk/view/pdfCoverPage?instCode=44SUR_INST&filePid=13181480840002346&download=true,Bo Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Ce Zhu,Relative Depth Knowledge Distillation for Generalizable Depth Estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5584554,Ce Zhu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Broadcast_Technology_Society
Jie Yang,Online LiDAR-Camera Extrinsic Parameters Self-checking,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2022,https://arxiv.org/abs/2210.10537,Jie Yang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Wei Liu,Online LiDAR-Camera Extrinsic Parameters Self-checking,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2022,https://arxiv.org/abs/2210.10537,Wei Liu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Fatih Porikli,[PDF] Supplementary for MAMo: Leveraging Memory and Attention for Monocular Video Depth Estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,,https://openaccess.thecvf.com/content/ICCV2023/supplemental/Yasarla_MAMo_Leveraging_Memory_ICCV_2023_supplemental.pdf,Fatih Porikli,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Zhihua Wang,PhysInOne: Visual Physics Learning and Reasoning in One Suite,GIC: Gaussian-Informed Continuum for Physical Property Identification and Simulation,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Zhou_PhysInOne_Visual_Physics_Learning_and_Reasoning_in_One_Suite_CVPR_2026_paper.html,Zhihua Wang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Hui Li,Physworld: From real videos to world models of deformable objects via physics-aware demonstration synthesis,GIC: Gaussian-Informed Continuum for Physical Property Identification and Simulation,2025,https://arxiv.org/abs/2510.21447,Hui Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Power_Electronics_Society
Ming-Hsuan Yang,Toward Material-Agnostic System Identification from Videos,GIC: Gaussian-Informed Continuum for Physical Property Identification and Simulation,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Zhao_Toward_Material-Agnostic_System_Identification_from_Videos_ICCV_2025_paper.html,Ming-Hsuan Yang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Baoquan Chen,FieryGS: In-the-Wild Fire Synthesis with Physics-Integrated Gaussian Splatting,GIC: Gaussian-Informed Continuum for Physical Property Identification and Simulation,2026,https://arxiv.org/abs/2605.00177,Baoquan Chen,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Ming-Hsuan Yang,Multi-Object System Identification from Videos,GIC: Gaussian-Informed Continuum for Physical Property Identification and Simulation,,https://openreview.net/forum?id=0ylAe3Orfy,Ming-Hsuan Yang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Wei ZHang,A hybrid architecture of sparse convolutional neural network-transformer for enhanced spatial-geometric feature learning in surface reconstruction,3D Former: Monocular Scene Reconstruction with 3D SDF Transformers,2025,https://www.sciencedirect.com/science/article/pii/S0952197625005500,Wei Zhang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Wenping Wang,GaussFiller: Unleashing VLM-Expert Guidance for 3D Scene Completion with 3D Gaussian Splatting,3D Former: Monocular Scene Reconstruction with 3D SDF Transformers,2026,https://openaccess.thecvf.com/content/CVPR2026F/html/Ping_GaussFiller_Unleashing_VLM-Expert_Guidance_for_3D_Scene_Completion_with_3D_CVPRF_2026_paper.html,Wenping Wang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Wei ZHang,Image-Plane Geometric Decoding for View-Invariant Indoor Scene Reconstruction,3D Former: Monocular Scene Reconstruction with 3D SDF Transformers,2025,https://arxiv.org/abs/2509.25744,Wei Zhang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Yuan Wang,HSI-GPT2: A Dual-Granularity Large Motion Reasoning Model with Diffusion Refinement for Human-Scene Interaction,MoGenTS: Motion Generation based on Spatial-Temporal Joint Modeling,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Wang_HSI-GPT2_A_Dual-Granularity_Large_Motion_Reasoning_Model_with_Diffusion_Refinement_CVPR_2026_paper.html,Yuan Wang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Control_Systems_Society
Baining Guo,Vasa-3d: Lifelike audio-driven gaussian head avatars from a single image,LAM: Large Avatar Model for One-shot Animatable Gaussian Head,2026,https://proceedings.neurips.cc/paper_files/paper/2025/hash/dd7dde414b41dd1f0c2128a1bc856943-Abstract-Conference.html,Baining Guo,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Yap-peng Tan,HP-Gaussian: Head Prior Guided Gaussian Splatting for Personalized Talking Head Synthesis from Few-Second Video,LAM: Large Avatar Model for One-shot Animatable Gaussian Head,2026,https://ieeexplore.ieee.org/abstract/document/11547886/,Yap-Peng Tan,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Fei Wang,One-shot Compositional 3D Head Avatars with Deformable Hair,LAM: Large Avatar Model for One-shot Animatable Gaussian Head,2026,https://arxiv.org/abs/2604.14782,Fei Wang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Power_Electronics_Society
Peng Li,CoreEditor: Consistent 3D Editing via Correspondence-constrained Diffusion,Freditor: High-Fidelity and Transferable NeRF Editing by Frequency Decomposition,2025,https://arxiv.org/abs/2508.11603,Peng Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Peng Li,CoreEditor: Correspondence-constrained Diffusion for Consistent 3D Editing,Freditor: High-Fidelity and Transferable NeRF Editing by Frequency Decomposition,2026,https://ieeexplore.ieee.org/abstract/document/11363441/,Peng Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
David Bull,Exploring dynamic novel view synthesis technologies for cinematography,Freditor: High-Fidelity and Transferable NeRF Editing by Frequency Decomposition,2024,https://arxiv.org/abs/2412.17532,David Bull,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Jing Yang,Object detection recognition and robot grasping based on machine learning: A survey,NRRLT: End-to-End Nonprehensile Rearrangement with Deep Reinforcement Learning and Simulation-to-Reality Transfer,2020,https://ieeexplore.ieee.org/abstract/document/9212350/,Jing Yang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Qiang Yang,Federated transfer reinforcement learning for autonomous driving,NRRLT: End-to-End Nonprehensile Rearrangement with Deep Reinforcement Learning and Simulation-to-Reality Transfer,2022,https://link.springer.com/chapter/10.1007/978-3-031-11748-0_15,Qiang Yang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Saeid Nahavandi,[HTML] Review of learning-based robotic manipulation in cluttered environments,NRRLT: End-to-End Nonprehensile Rearrangement with Deep Reinforcement Learning and Simulation-to-Reality Transfer,2022,https://www.mdpi.com/1424-8220/22/20/7938,Saeid Nahavandi,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Jie Yang,Haisor: Human-aware Indoor Scene Optimization via Deep Reinforcement Learning,NRRLT: End-to-End Nonprehensile Rearrangement with Deep Reinforcement Learning and Simulation-to-Reality Transfer,2024,https://dl.acm.org/doi/abs/10.1145/3632947,Jie Yang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Danica Kragic,Pushing everything everywhere all at once: Probabilistic prehensile pushing,NRRLT: End-to-End Nonprehensile Rearrangement with Deep Reinforcement Learning and Simulation-to-Reality Transfer,2025,https://ieeexplore.ieee.org/abstract/document/10930575/,Danica Kragić,https://www.ieee-ras.org/images/attachments/awards/RAS_Fellow_listing_2025.pdf
Tao Jiang,Learning strategies for underwater robot autonomous manipulation control,NRRLT: End-to-End Nonprehensile Rearrangement with Deep Reinforcement Learning and Simulation-to-Reality Transfer,2024,https://www.sciencedirect.com/science/article/pii/S0016003224001947,Tao Jiang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Broadcast_Technology_Society
Fan Bai,[HTML] Hierarchical policy with deep-reinforcement learning for nonprehensile multiobject rearrangement,NRRLT: End-to-End Nonprehensile Rearrangement with Deep Reinforcement Learning and Simulation-to-Reality Transfer,2022,https://www.sciencedirect.com/science/article/pii/S2667379722000134,Fan Bai,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Fan Bai,Hierarchical policy for non-prehensile multi-object rearrangement with deep reinforcement learning and Monte Carlo tree search,NRRLT: End-to-End Nonprehensile Rearrangement with Deep Reinforcement Learning and Simulation-to-Reality Transfer,2021,https://arxiv.org/abs/2109.08973,Fan Bai,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Tong Zhang,Learning-based multi-view stereo: A survey,DRO: Deep Recurrent Optimizer for Structure-from-Motion,2026,https://ieeexplore.ieee.org/abstract/document/11355839/,Tong Zhang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Marc Pollefeys,Learning-based multi-view stereo: A survey,DRO: Deep Recurrent Optimizer for Structure-from-Motion,2026,https://ieeexplore.ieee.org/abstract/document/11355839/,Marc Pollefeys,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Tao Xie,Scal3r: Scalable test-time training for large-scale 3d reconstruction,DRO: Deep Recurrent Optimizer for Structure-from-Motion,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Xie_Scal3R_Scalable_Test-Time_Training_for_Large-Scale_3D_Reconstruction_CVPR_2026_paper.html,Tao Xie,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Marc Pollefeys,Itermvs: Iterative probability estimation for efficient multi-view stereo,DRO: Deep Recurrent Optimizer for Structure-from-Motion,2022,http://openaccess.thecvf.com/content/CVPR2022/html/Wang_IterMVS_Iterative_Probability_Estimation_for_Efficient_Multi-View_Stereo_CVPR_2022_paper.html,Marc Pollefeys,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Bo Li,Efficient multi-view stereo by iterative dynamic cost volume,DRO: Deep Recurrent Optimizer for Structure-from-Motion,2022,http://openaccess.thecvf.com/content/CVPR2022/html/Wang_Efficient_Multi-View_Stereo_by_Iterative_Dynamic_Cost_Volume_CVPR_2022_paper.html,Bo Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Bo Li,Efficient multi-view stereo by dynamic cost volume and cross-scale propagation,DRO: Deep Recurrent Optimizer for Structure-from-Motion,2024,https://ieeexplore.ieee.org/abstract/document/10522746/,Bo Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Bir Bhanu,MonoIndoor++: Towards better practice of self-supervised monocular depth estimation for indoor environments,DRO: Deep Recurrent Optimizer for Structure-from-Motion,2022,https://ieeexplore.ieee.org/abstract/document/9893171/,Bir Bhanu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
